Donor Type,Donor Age,Donor State of Residence,All Donors - All History of Diabetes,All Donors - NA before 4/1/1994,All Donors - NO,All Donors - UNKNOWN,"All Donors - YES, >10 YEARS","All Donors - YES, 0-5 YEARS","All Donors - YES, 6-10 YEARS","All Donors - YES, UNKNOWN DURATION",Kidney - All History of Diabetes,Kidney - NA before 4/1/1994,Kidney - NO,Kidney - UNKNOWN,"Kidney - YES, >10 YEARS","Kidney - YES, 0-5 YEARS","Kidney - YES, 6-10 YEARS","Kidney - YES, UNKNOWN DURATION",Liver - All History of Diabetes,Liver - NA before 4/1/1994,Liver - NO,Liver - UNKNOWN,"Liver - YES, >10 YEARS","Liver - YES, 0-5 YEARS","Liver - YES, 6-10 YEARS","Liver - YES, UNKNOWN DURATION",Heart - All History of Diabetes,Heart - NA before 4/1/1994,Heart - NO,Heart - UNKNOWN,"Heart - YES, >10 YEARS","Heart - YES, 0-5 YEARS","Heart - YES, 6-10 YEARS","Heart - YES, UNKNOWN DURATION",Pancreas - All History of Diabetes,Pancreas - NA before 4/1/1994,Pancreas - NO,Pancreas - UNKNOWN,"Pancreas - YES, >10 YEARS","Pancreas - YES, 0-5 YEARS","Pancreas - YES, 6-10 YEARS","Pancreas - YES, UNKNOWN DURATION",Lung - All History of Diabetes,Lung - NA before 4/1/1994,Lung - NO,Lung - UNKNOWN,"Lung - YES, >10 YEARS","Lung - YES, 0-5 YEARS","Lung - YES, 6-10 YEARS","Lung - YES, UNKNOWN DURATION",Intestine - All History of Diabetes,Intestine - NA before 4/1/1994,Intestine - NO,Intestine - UNKNOWN,"Intestine - YES, >10 YEARS","Intestine - YES, 0-5 YEARS","Intestine - YES, 6-10 YEARS","Intestine - YES, UNKNOWN DURATION"
,,New Jersey,5640,661,4449,35,165,190,71,69,5231,635,4168,33,105,168,62,60,4392,409,3548,26,151,142,57,59,1803,257,1490,8,13,21,8,6,1096,93,997,3,0,3,0,0,780,47,689,1,16,19,3,5,43,5,37,0,0,1,0,0
,,New Mexico,1459,224,1131,9,26,35,23,11,1363,206,1068,9,17,32,21,10,1152,157,916,5,24,23,19,8,543,143,390,1,1,3,3,2,201,56,144,0,0,0,0,1,194,34,149,1,3,3,3,1,18,0,18,0,0,0,0,0
,,New York,11042,1289,8506,93,372,404,193,185,9458,1231,7442,72,165,291,131,126,8959,794,7117,72,336,329,149,162,3344,532,2725,13,12,40,13,9,1761,225,1525,5,0,4,0,2,1111,78,969,4,16,23,10,11,140,2,136,1,0,0,1,0
,,North Carolina,6264,561,5156,44,131,207,88,77,5749,526,4782,36,93,172,76,64,4985,346,4230,37,108,150,63,51,2437,295,2068,17,9,43,2,3,1520,128,1384,6,0,0,0,2,1319,82,1164,15,14,30,7,7,127,3,123,1,0,0,0,0
,,North Dakota,464,89,343,3,6,18,2,3,440,86,326,2,5,16,2,3,380,60,296,3,4,15,0,2,171,42,123,0,0,5,0,1,181,39,141,1,0,0,0,0,76,9,63,1,1,2,0,0,13,0,12,0,0,1,0,0
,,Ohio,8889,1307,6778,54,241,284,131,94,8211,1258,6331,50,141,245,107,79,7199,803,5751,45,201,226,98,75,2999,546,2371,10,16,36,15,5,2374,374,1991,5,1,2,0,1,1666,109,1466,5,42,27,14,3,137,4,131,0,1,1,0,0
,,Oklahoma,3061,335,2481,10,77,96,45,17,2836,317,2329,9,46,83,38,14,2400,231,1992,9,57,69,31,11,1094,172,904,5,3,7,2,1,392,12,380,0,0,0,0,0,451,16,413,0,5,8,6,3,31,1,30,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oregon,2031,338,1591,20,20,41,15,6,1953,325,1536,18,14,39,15,6,1667,232,1353,18,18,29,12,5,761,167,568,12,2,8,2,2,414,60,348,4,0,2,0,0,264,16,239,1,4,3,1,0,10,0,10,0,0,0,0,0
,,Pennsylvania,12791,1416,9856,57,554,514,264,130,11770,1348,9269,52,332,462,210,97,10447,1014,8193,44,486,392,216,102,4008,609,3255,18,37,54,20,15,2689,419,2245,9,1,9,2,4,2259,173,1914,6,63,56,33,14,177,22,153,0,1,1,0,0
,,Puerto Rico,1879,32,1551,3,112,115,63,3,1635,32,1422,3,45,86,44,3,1526,2,1287,1,92,89,52,3,355,2,352,0,1,0,0,0,244,0,244,0,0,0,0,0,245,2,225,0,10,4,4,0,29,0,29,0,0,0,0,0
,,Rhode Island,502,60,406,1,12,12,4,7,468,60,381,1,6,10,4,6,356,28,297,0,10,11,4,6,178,26,149,1,0,2,0,0,102,4,98,0,0,0,0,0,58,1,50,0,4,1,1,1,4,0,4,0,0,0,0,0
,,South Carolina,3659,349,2947,7,110,149,67,30,3404,338,2765,7,77,138,54,25,3172,206,2650,7,99,127,58,25,1413,177,1203,3,7,14,5,4,760,42,716,1,0,1,0,0,732,26,655,2,19,22,6,2,51,4,46,1,0,0,0,0
,,South Dakota,557,68,452,1,9,18,6,3,530,64,437,1,5,15,5,3,487,48,406,1,8,16,6,2,202,30,170,0,0,2,0,0,232,36,196,0,0,0,0,0,124,8,111,0,2,2,1,0,16,0,16,0,0,0,0,0
,,State unassigned,3170,1765,1239,49,30,50,22,15,2945,1650,1156,42,22,46,20,9,2310,1147,1039,35,24,36,15,14,1273,764,482,17,1,6,1,2,636,314,314,6,0,1,0,1,449,152,271,8,8,6,4,0,25,7,18,0,0,0,0,0
,,Tennessee,5244,512,4237,9,158,173,94,61,4765,492,3894,7,100,149,78,45,4417,322,3672,7,144,144,78,50,2090,253,1786,4,14,22,6,5,1155,112,1040,2,0,1,0,0,970,44,867,5,22,19,7,6,129,0,128,0,1,0,0,0
,,Texas,17342,1978,13770,67,513,599,284,131,15560,1834,12621,54,275,469,214,93,13995,1362,11366,56,429,456,220,106,6829,1206,5491,15,30,52,25,10,2615,290,2317,4,1,2,1,0,3458,176,3060,8,73,81,41,19,207,4,203,0,0,0,0,0
,,Utah,1727,227,1397,6,32,35,22,8,1613,207,1325,6,16,32,22,5,1363,158,1119,6,30,26,19,5,702,142,544,1,3,7,5,0,375,49,325,1,0,0,0,0,254,13,231,1,2,5,2,0,13,0,13,0,0,0,0,0
