Donor Type,Donor Age,Donor State of Residence,All Donors - All ABO,All Donors - O,All Donors - A,All Donors - B,All Donors - AB,All Donors - Unknown,Kidney - All ABO,Kidney - O,Kidney - A,Kidney - B,Kidney - AB,Kidney - Unknown,Liver - All ABO,Liver - O,Liver - A,Liver - B,Liver - AB,Liver - Unknown,Heart - All ABO,Heart - O,Heart - A,Heart - B,Heart - AB,Heart - Unknown,Pancreas - All ABO,Pancreas - O,Pancreas - A,Pancreas - B,Pancreas - AB,Pancreas - Unknown,Lung - All ABO,Lung - O,Lung - A,Lung - B,Lung - AB,Lung - Unknown,Intestine - All ABO,Intestine - O,Intestine - A,Intestine - B,Intestine - AB,Intestine - Unknown
,,Texas,1503,785,516,154,48,0,1461,760,502,151,48,0,1309,690,446,134,39,0,929,518,315,83,13,0,523,296,184,35,8,0,440,250,139,43,8,0,19,9,6,4,0,0
,,Utah,195,95,81,13,6,0,189,92,80,11,6,0,167,83,69,10,5,0,94,55,34,4,1,0,78,42,34,2,0,0,38,25,11,2,0,0,2,2,0,0,0,0
,,Vermont,35,16,11,8,0,0,35,16,11,8,0,0,32,15,9,8,0,0,20,9,6,5,0,0,13,4,5,4,0,0,9,4,2,3,0,0,1,0,1,0,0,0
,,Virginia,358,178,129,40,11,0,349,174,127,37,11,0,314,155,114,35,10,0,209,108,72,25,4,0,153,77,56,15,5,0,98,47,40,8,3,0,8,4,4,0,0,0
,,Washington,277,120,110,27,20,0,270,117,107,26,20,0,251,108,100,24,19,0,149,63,65,13,8,0,121,58,45,13,5,0,65,30,27,5,3,0,2,1,1,0,0,0
,,West Virginia,118,57,47,11,3,0,117,56,47,11,3,0,103,48,42,10,3,0,62,33,24,4,1,0,61,29,25,7,0,0,31,16,13,2,0,0,4,2,2,0,0,0
,,Wisconsin,366,158,159,36,13,0,365,158,158,36,13,0,328,143,146,31,8,0,204,88,87,24,5,0,273,119,121,24,9,0,89,42,37,5,5,0,7,3,4,0,0,0
,,Wyoming,47,19,21,5,2,0,45,17,21,5,2,0,41,15,20,5,1,0,35,15,14,4,2,0,23,8,13,2,0,0,14,5,8,0,1,0,0,0,0,0,0,0
,18-34 Years,All Donor States of Residence,118246,65895,37650,11986,2676,39,111623,62017,35618,11410,2541,37,58036,28534,21250,6498,1751,3,35821,17956,13070,3892,902,1,24124,12068,8940,2650,465,1,17341,8809,6291,1858,383,0,830,412,315,90,13,0
,,Alabama,2063,1149,651,219,44,0,2008,1120,633,214,41,0,1015,476,388,121,30,0,629,296,241,78,14,0,363,187,137,33,6,0,298,139,116,34,9,0,4,2,2,0,0,0
,,Alaska,317,160,127,23,7,0,306,154,123,22,7,0,189,84,87,13,5,0,111,53,49,6,3,0,88,45,37,5,1,0,66,31,30,4,1,0,0,0,0,0,0,0
,,Arizona,2351,1360,751,197,42,1,2264,1308,719,195,41,1,1142,585,419,112,26,0,669,340,255,65,9,0,410,212,146,47,5,0,374,215,129,27,3,0,10,4,5,1,0,0
,,Arkansas,1085,584,370,102,29,0,1034,561,348,99,26,0,625,304,239,61,21,0,421,201,167,39,14,0,246,136,85,21,4,0,197,93,81,16,7,0,23,14,9,0,0,0
,,California,12272,7085,3646,1281,257,3,11534,6614,3457,1217,243,3,5998,3112,2028,693,165,0,3939,2072,1361,421,85,0,2349,1206,823,274,46,0,1858,1011,612,198,37,0,26,14,8,3,1,0
,,Colorado,1753,926,598,186,42,1,1627,857,554,175,40,1,907,431,345,102,29,0,531,260,188,67,16,0,354,165,143,40,6,0,234,110,91,25,8,0,5,0,5,0,0,0
,,Connecticut,1108,625,350,110,23,0,1038,588,329,101,20,0,510,241,191,63,15,0,303,145,110,38,10,0,181,95,61,23,2,0,108,55,35,14,4,0,5,4,1,0,0,0
,,Delaware,415,212,137,53,13,0,393,198,132,52,11,0,236,104,89,37,6,0,152,74,50,25,3,0,116,49,46,20,1,0,83,36,34,11,2,0,4,2,2,0,0,0
,,District of Columbia,382,216,87,70,9,0,364,203,83,69,9,0,149,75,40,28,6,0,104,51,27,21,5,0,95,47,26,19,3,0,57,28,15,11,3,0,4,3,0,1,0,0
,,Florida,6005,3208,2021,619,155,2,5705,3066,1904,583,150,2,3646,1760,1376,401,108,1,2183,1098,798,238,48,1,1458,765,517,147,28,1,1066,554,387,100,25,0,87,48,30,7,2,0
,,Georgia,3104,1733,944,344,83,0,2919,1641,884,317,77,0,1604,772,571,198,63,0,1089,548,383,120,38,0,568,306,189,53,20,0,512,254,203,44,11,0,21,12,5,4,0,0
,,Hawaii,351,166,125,48,12,0,337,158,120,47,12,0,166,59,74,28,5,0,31,15,12,2,2,0,64,20,31,12,1,0,14,4,6,3,1,0,0,0,0,0,0,0
,,Idaho,484,258,186,33,7,0,463,246,178,32,7,0,248,111,110,22,5,0,153,77,66,7,3,0,93,46,41,5,1,0,65,32,27,5,1,0,1,0,1,0,0,0
,,Illinois,5857,3333,1764,635,122,3,5496,3111,1659,603,120,3,2396,1197,840,294,65,0,1384,684,499,171,30,0,1253,632,445,155,21,0,758,362,272,104,20,0,41,21,12,8,0,0
,,Indiana,2572,1373,915,213,66,5,2470,1315,883,205,62,5,1374,670,544,117,43,0,884,434,353,72,25,0,582,305,217,52,8,0,469,236,188,36,9,0,90,50,30,9,1,0
,,Iowa,1082,560,414,83,25,0,1038,535,396,83,24,0,507,232,216,47,12,0,295,138,121,31,5,0,247,118,100,27,2,0,151,65,64,16,6,0,7,1,5,1,0,0
,,Kansas,1108,573,412,97,26,0,1071,549,401,96,25,0,666,307,281,62,16,0,401,185,169,37,10,0,318,143,141,31,3,0,215,97,86,25,7,0,8,2,5,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kentucky,1551,820,540,148,43,0,1484,779,519,144,42,0,831,383,333,92,23,0,513,243,203,56,11,0,387,179,148,50,10,0,236,107,88,33,8,0,7,3,3,1,0,0
,,Louisiana,2074,1134,659,239,41,1,1962,1063,631,227,40,1,1208,607,427,146,28,0,750,383,258,101,8,0,529,267,186,71,5,0,374,175,142,52,5,0,12,7,2,3,0,0
,,Maine,478,262,166,40,10,0,440,242,151,37,10,0,267,130,104,27,6,0,157,77,62,15,3,0,99,43,46,9,1,0,66,28,29,8,1,0,3,1,1,1,0,0
,,Maryland,2700,1520,785,338,57,0,2529,1421,741,316,51,0,1208,583,424,162,39,0,677,322,254,84,17,0,629,314,231,75,9,0,403,188,157,52,6,0,16,4,11,0,1,0
,,Massachusetts,2258,1337,684,195,42,0,2081,1232,629,180,40,0,950,504,335,89,22,0,530,279,196,41,14,0,296,168,100,22,6,0,211,108,80,19,4,0,10,5,5,0,0,0
,,Michigan,4295,2339,1386,463,107,0,4100,2233,1320,447,100,0,1813,863,661,227,62,0,1094,527,391,144,32,0,682,317,270,81,14,0,605,298,216,75,16,0,37,15,14,7,1,0
,,Minnesota,2485,1359,859,207,58,2,2352,1288,802,202,58,2,886,402,362,88,34,0,538,250,218,47,23,0,585,273,234,58,20,0,268,125,122,15,6,0,27,12,8,5,2,0
,,Mississippi,929,525,286,99,19,0,887,501,273,95,18,0,489,243,165,64,17,0,304,154,104,39,7,0,197,101,63,28,5,0,144,78,47,18,1,0,8,6,2,0,0,0
,,Missouri,2543,1344,889,239,70,1,2409,1273,839,229,67,1,1453,678,567,159,49,0,907,450,342,90,25,0,601,283,231,70,17,0,554,279,211,50,14,0,27,14,9,3,1,0
,,Montana,345,175,135,25,10,0,323,160,131,24,8,0,190,88,79,15,8,0,125,62,48,11,4,0,87,40,39,7,1,0,43,23,18,1,1,0,3,1,2,0,0,0
,,Nebraska,648,326,251,48,23,0,615,314,234,45,22,0,342,136,157,31,18,0,215,101,89,17,8,0,178,75,77,20,6,0,105,43,46,9,7,0,8,2,4,2,0,0
,,Nevada,872,491,272,89,20,0,818,463,252,83,20,0,477,245,173,45,14,0,299,155,105,34,5,0,171,94,64,9,4,0,145,77,52,16,0,0,3,2,1,0,0,0
,,New Hampshire,406,228,139,27,12,0,374,206,131,25,12,0,189,89,75,17,8,0,107,45,49,7,6,0,71,33,33,3,2,0,46,18,26,2,0,0,2,2,0,0,0,0
,,New Jersey,3030,1687,915,356,71,1,2851,1588,855,338,69,1,1292,613,464,175,40,0,780,382,281,100,17,0,560,270,208,69,13,0,332,162,122,42,6,0,6,2,3,1,0,0
,,New Mexico,771,461,227,64,19,0,740,439,221,63,17,0,432,227,157,37,11,0,274,150,92,25,7,0,123,72,45,5,1,0,101,58,38,4,1,0,7,3,4,0,0,0
,,New York,6530,3803,1866,724,137,0,5925,3421,1703,675,126,0,2637,1366,879,307,85,0,1424,718,491,173,42,0,880,445,308,109,18,0,448,242,143,51,12,0,23,16,4,3,0,0
,,North Carolina,3207,1792,1006,345,63,1,3040,1691,956,332,60,1,1670,825,598,195,52,0,1088,538,386,135,29,0,802,398,293,92,19,0,571,274,200,82,15,0,26,12,11,3,0,0
,,North Dakota,310,162,116,30,2,0,299,154,113,30,2,0,128,59,49,18,2,0,74,32,30,11,1,0,77,39,31,6,1,0,34,18,7,8,1,0,2,2,0,0,0,0
,,Ohio,4956,2696,1679,470,109,2,4702,2549,1609,439,103,2,2366,1142,884,266,74,0,1364,656,524,139,45,0,1183,569,460,127,27,0,699,358,260,65,16,0,49,26,20,3,0,0
,,Oklahoma,1288,712,430,118,26,2,1220,671,409,114,24,2,773,396,281,73,23,0,487,250,181,46,10,0,230,127,77,23,3,0,221,119,83,19,0,0,4,2,1,1,0,0
,,Oregon,1111,582,403,109,17,0,1069,555,391,106,17,0,538,251,220,56,11,0,325,153,136,33,3,0,218,99,92,24,3,0,119,55,52,11,1,0,0,0,0,0,0,0
,,Pennsylvania,5494,2920,1837,593,143,1,5087,2687,1702,564,133,1,3087,1461,1137,386,103,0,1753,845,631,224,53,0,1342,625,511,181,25,0,984,493,347,122,22,0,62,29,28,5,0,0
,,Puerto Rico,874,543,249,72,10,0,824,512,235,67,10,0,475,265,158,45,7,0,238,148,75,13,2,0,173,94,60,18,1,0,123,68,43,11,1,0,16,5,8,3,0,0
,,Rhode Island,373,215,114,33,11,0,344,195,107,32,10,0,118,51,50,14,3,0,80,37,31,10,2,0,45,15,23,6,1,0,25,11,11,3,0,0,2,0,1,1,0,0
,,South Carolina,1615,908,491,175,40,1,1556,874,476,168,37,1,931,474,321,106,30,0,646,333,218,79,16,0,419,225,141,49,4,0,316,161,102,43,10,0,7,3,4,0,0,0
,,South Dakota,310,173,110,21,6,0,298,165,107,20,6,0,152,76,59,13,4,0,91,47,36,7,1,0,98,52,39,6,1,0,46,24,15,5,2,0,3,1,2,0,0,0
,,State unassigned,2943,1775,776,326,61,5,2684,1614,713,296,58,3,1015,555,325,105,28,2,655,351,218,67,19,0,363,204,121,32,6,0,232,128,78,21,5,0,9,6,3,0,0,0
,,Tennessee,2642,1443,850,275,73,1,2532,1380,819,263,69,1,1400,682,503,167,48,0,959,470,337,117,35,0,584,286,205,76,17,0,439,225,144,60,10,0,32,13,14,3,2,0
,,Texas,9071,5354,2650,866,198,3,8692,5136,2533,831,189,3,4569,2398,1539,497,135,0,3264,1777,1101,316,70,0,1505,836,504,146,19,0,1596,881,527,160,28,0,35,24,7,2,2,0
,,Utah,1277,684,464,109,20,0,1210,638,447,105,20,0,541,251,229,51,10,0,316,151,130,31,4,0,206,97,85,20,4,0,134,71,47,14,2,0,1,1,0,0,0,0
,,Vermont,240,136,82,20,2,0,222,131,70,19,2,0,122,62,48,10,2,0,67,38,24,5,0,0,45,22,18,5,0,0,24,13,8,3,0,0,1,0,1,0,0,0
,,Virginia,2920,1641,923,293,63,0,2739,1531,869,278,61,0,1322,660,491,130,41,0,797,391,304,78,24,0,497,262,186,38,11,0,370,188,130,42,10,0,18,6,9,3,0,0
,,Washington,1891,1028,644,182,36,1,1822,989,616,180,36,1,939,435,383,99,22,0,552,269,222,55,6,0,385,184,158,39,4,0,275,147,106,18,4,0,3,2,1,0,0,0
,,West Virginia,730,372,283,58,17,0,664,332,265,53,14,0,454,211,195,35,13,0,243,114,99,25,5,0,184,85,80,15,4,0,122,61,48,10,3,0,17,4,10,3,0,0
,,Wisconsin,2535,1294,905,262,73,1,2439,1243,867,258,70,1,1256,531,526,145,54,0,756,336,318,75,27,0,846,366,363,93,24,0,367,161,158,39,9,0,7,4,2,1,0,0
,,Wyoming,235,133,81,15,5,1,223,123,79,15,5,1,138,72,54,7,5,0,93,51,37,4,1,0,62,32,25,4,1,0,38,22,12,2,2,0,1,0,0,1,0,0
,35-49 Years,All Donor States of Residence,128971,73087,40805,12356,2692,31,121511,68860,38461,11615,2544,31,48171,23620,17685,5432,1434,0,19823,10115,7302,1978,428,0,10264,5195,3799,1061,208,1,10568,5372,3785,1159,252,0,297,159,103,28,7,0
,,Alabama,2045,1187,617,197,44,0,1969,1141,596,188,44,0,726,343,266,92,25,0,236,100,106,24,6,0,78,36,33,5,4,0,128,68,43,12,5,0,2,2,0,0,0,0
,,Alaska,363,194,121,35,13,0,356,190,118,35,13,0,134,55,54,19,6,0,48,17,24,7,0,0,24,9,13,2,0,0,37,16,12,7,2,0,0,0,0,0,0,0
,,Arizona,2292,1397,681,174,40,0,2169,1315,648,168,38,0,822,429,294,75,24,0,320,180,108,28,4,0,125,67,45,13,0,0,202,120,61,18,3,0,3,3,0,0,0,0
,,Arkansas,1010,562,318,108,22,0,967,537,305,106,19,0,461,214,169,63,15,0,168,77,67,21,3,0,77,39,33,5,0,0,72,29,26,17,0,0,5,1,4,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,California,13181,7797,3811,1282,288,3,12409,7319,3588,1217,282,3,5052,2646,1705,550,151,0,2183,1209,740,197,37,0,893,493,298,86,16,0,1257,695,402,131,29,0,8,6,1,1,0,0
,,Colorado,2082,1213,664,170,34,1,1955,1131,628,162,33,1,732,374,260,81,17,0,326,168,124,28,6,0,176,94,61,19,2,0,128,63,48,16,1,0,6,3,2,1,0,0
,,Connecticut,1426,783,450,161,31,1,1346,734,423,158,30,1,491,227,175,69,20,0,228,102,94,26,6,0,92,47,29,16,0,0,83,37,34,10,2,0,1,0,1,0,0,0
,,Delaware,506,272,165,61,8,0,468,251,151,58,8,0,242,116,90,29,7,0,103,50,40,11,2,0,48,24,17,6,1,0,74,35,29,9,1,0,6,3,3,0,0,0
,,District of Columbia,304,183,73,40,8,0,287,174,70,36,7,0,113,63,27,18,5,0,42,24,10,6,2,0,30,25,4,0,1,0,26,13,7,6,0,0,0,0,0,0,0,0
,,Florida,6302,3468,2070,608,154,2,5929,3274,1948,557,148,2,2905,1419,1097,297,92,0,1148,623,387,108,30,0,517,273,172,60,12,0,645,356,222,53,14,0,38,17,13,6,2,0
,,Georgia,3521,2009,1077,363,72,0,3252,1862,997,327,66,0,1410,716,479,179,36,0,539,294,183,50,12,0,148,83,49,14,2,0,293,137,113,35,8,0,6,3,3,0,0,0
,,Hawaii,465,240,147,65,13,0,448,231,143,61,13,0,195,90,63,32,10,0,22,13,5,4,0,0,30,13,10,7,0,0,12,9,3,0,0,0,0,0,0,0,0,0
,,Idaho,585,335,204,33,13,0,556,314,197,32,13,0,195,101,74,12,8,0,77,45,27,2,3,0,40,22,15,2,1,0,36,25,8,2,1,0,0,0,0,0,0,0
,,Illinois,5754,3280,1740,604,130,0,5408,3093,1628,566,121,0,1918,936,697,229,56,0,755,392,261,85,17,0,644,314,242,70,18,0,459,237,158,52,12,0,14,6,8,0,0,0
,,Indiana,2757,1511,954,247,43,2,2617,1440,905,232,38,2,1125,522,457,120,26,0,503,253,195,45,10,0,283,150,103,25,5,0,243,129,87,24,3,0,24,10,12,2,0,0
,,Iowa,1337,762,438,114,23,0,1294,738,422,112,22,0,414,211,149,42,12,0,176,97,59,14,6,0,133,76,41,12,4,0,97,52,32,11,2,0,2,2,0,0,0,0
,,Kansas,1121,589,405,100,27,0,1073,562,389,95,27,0,511,234,205,59,13,0,235,116,96,23,0,0,147,71,65,11,0,0,127,64,44,13,6,0,3,1,1,1,0,0
,,Kentucky,1670,900,608,129,32,1,1597,866,581,121,28,1,665,292,283,70,20,0,268,126,108,30,4,0,139,70,58,9,2,0,146,56,66,21,3,0,1,1,0,0,0,0
,,Louisiana,1802,997,598,175,31,1,1658,922,551,157,27,1,906,439,348,96,23,0,303,159,116,25,3,0,168,86,58,22,2,0,202,104,68,24,6,0,4,4,0,0,0,0
,,Maine,620,356,218,37,9,0,575,328,205,36,6,0,209,103,85,15,6,0,86,46,31,6,3,0,50,22,23,5,0,0,35,18,13,3,1,0,2,1,1,0,0,0
,,Maryland,3035,1678,908,368,80,1,2832,1569,844,344,74,1,1067,479,389,146,53,0,406,194,144,54,14,0,299,135,112,41,11,0,286,130,106,40,10,0,7,4,3,0,0,0
,,Massachusetts,2909,1701,887,265,56,0,2687,1567,822,248,50,0,902,457,331,90,24,0,403,188,170,40,5,0,180,100,63,14,3,0,169,88,63,16,2,0,2,1,1,0,0,0
,,Michigan,4926,2706,1611,495,113,1,4683,2569,1535,471,107,1,1611,721,614,221,55,0,671,297,261,85,28,0,317,155,110,45,7,0,448,211,163,54,20,0,12,8,3,1,0,0
,,Minnesota,3085,1691,1066,265,57,6,2938,1606,1017,255,54,6,834,372,339,99,24,0,342,148,144,41,9,0,408,182,174,44,7,1,206,82,92,28,4,0,15,6,6,3,0,0
,,Mississippi,1002,562,319,103,18,0,950,526,306,101,17,0,423,200,160,51,12,0,149,70,59,17,3,0,61,33,21,7,0,0,69,28,22,14,5,0,2,2,0,0,0,0
,,Missouri,2372,1243,854,222,53,0,2196,1150,795,200,51,0,1069,499,428,118,24,0,410,208,165,28,9,0,219,97,91,26,5,0,296,136,122,31,7,0,5,2,2,1,0,0
,,Montana,444,234,159,39,12,0,427,227,151,37,12,0,147,63,60,18,6,0,67,30,28,7,2,0,32,14,14,2,2,0,24,11,10,2,1,0,0,0,0,0,0,0
,,Nebraska,765,422,266,65,12,0,733,406,252,63,12,0,279,120,124,28,7,0,92,39,41,11,1,0,100,41,46,11,2,0,50,22,23,5,0,0,0,0,0,0,0,0
,,Nevada,933,528,293,89,23,0,881,502,274,83,22,0,431,217,148,49,17,0,191,101,71,15,4,0,60,36,18,5,1,0,103,52,37,10,4,0,0,0,0,0,0,0
,,New Hampshire,647,336,250,48,13,0,604,315,233,43,13,0,209,82,101,20,6,0,101,32,54,12,3,0,46,14,27,3,2,0,51,15,30,5,1,0,1,0,1,0,0,0
,,New Jersey,3897,2238,1150,437,71,1,3721,2146,1090,413,71,1,1220,620,406,163,31,0,541,281,183,70,7,0,276,151,86,34,5,0,222,124,69,25,4,0,3,1,1,1,0,0
,,New Mexico,743,460,212,61,10,0,708,433,204,61,10,0,278,149,98,24,7,0,113,62,41,9,1,0,29,16,11,2,0,0,34,21,12,1,0,0,2,2,0,0,0,0
,,New York,7477,4420,2126,770,159,2,6803,4025,1941,687,148,2,2564,1342,838,299,85,0,977,534,310,109,24,0,445,235,134,64,12,0,305,159,106,31,9,0,17,13,2,2,0,0
,,North Carolina,3311,1875,1045,331,60,0,3137,1779,985,315,58,0,1296,644,463,156,33,0,631,336,227,58,10,0,333,167,128,33,5,0,346,181,118,43,4,0,11,6,4,1,0,0
,,North Dakota,366,210,125,25,6,0,356,203,123,25,5,0,90,42,39,6,3,0,45,19,20,5,1,0,53,26,24,2,1,0,18,9,8,1,0,0,3,2,0,0,1,0
,,Ohio,5559,3019,1952,472,116,0,5278,2862,1849,456,111,0,2006,931,830,195,50,0,818,399,329,70,20,0,601,281,253,59,8,0,468,227,204,30,7,0,11,4,5,2,0,0
,,Oklahoma,1391,784,467,111,29,0,1309,737,444,102,26,0,627,314,233,61,19,0,267,137,104,21,5,0,61,30,26,4,1,0,114,65,39,10,0,0,1,1,0,0,0,0
,,Oregon,1325,730,453,119,23,0,1285,712,438,114,21,0,442,212,179,40,11,0,210,112,76,19,3,0,85,46,29,9,1,0,76,41,26,9,0,0,1,1,0,0,0,0
,,Pennsylvania,6462,3437,2234,640,148,3,6009,3185,2096,588,137,3,2816,1337,1065,334,80,0,1120,523,435,135,27,0,645,307,254,66,18,0,592,281,219,73,19,0,25,10,12,1,2,0
,,Puerto Rico,719,447,218,42,11,1,667,418,200,40,8,1,302,158,119,18,7,0,50,34,15,1,0,0,23,16,6,1,0,0,50,26,19,3,2,0,1,1,0,0,0,0
,,Rhode Island,456,275,145,32,4,0,431,257,139,31,4,0,124,72,40,8,4,0,49,30,15,4,0,0,32,18,11,2,1,0,16,10,5,1,0,0,0,0,0,0,0,0
,,South Carolina,1792,987,556,208,40,1,1695,936,527,194,37,1,865,414,287,135,29,0,367,186,133,43,5,0,147,89,47,11,0,0,197,93,66,31,7,0,1,0,0,1,0,0
,,South Dakota,383,203,140,29,11,0,366,193,136,26,11,0,127,51,57,12,7,0,49,22,21,3,3,0,63,23,29,9,2,0,28,12,14,2,0,0,1,1,0,0,0,0
,,State unassigned,2709,1666,663,316,64,0,2569,1578,627,302,62,0,602,351,163,63,25,0,297,173,77,30,17,0,141,72,47,16,6,0,107,64,32,8,3,0,2,2,0,0,0,0
,,Tennessee,2623,1472,852,233,65,1,2454,1389,790,213,61,1,1206,588,462,118,38,0,544,280,205,53,6,0,246,140,83,21,2,0,255,123,102,26,4,0,14,7,5,2,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Texas,9075,5413,2694,812,155,1,8546,5115,2541,750,139,1,3537,1834,1221,392,90,0,1595,841,589,134,31,0,418,214,158,38,8,0,925,501,306,100,18,0,10,5,4,1,0,0
,,Utah,1170,669,391,80,30,0,1124,647,369,80,28,0,326,150,131,33,12,0,167,83,68,11,5,0,69,37,25,5,2,0,64,36,19,5,4,0,0,0,0,0,0,0
,,Vermont,278,153,105,17,3,0,259,142,98,16,3,0,83,34,39,8,2,0,28,7,16,4,1,0,22,7,13,2,0,0,18,5,9,4,0,0,0,0,0,0,0,0
,,Virginia,3577,2037,1101,359,80,0,3377,1920,1032,348,77,0,1166,566,429,133,38,0,452,215,169,56,12,0,188,94,70,20,4,0,257,123,93,36,5,0,13,9,3,0,1,0
,,Washington,2237,1215,753,228,41,0,2179,1188,731,220,40,0,744,351,289,84,20,0,302,157,113,28,4,0,166,82,66,14,4,0,157,78,57,18,4,0,2,1,0,1,0,0
,,West Virginia,786,440,267,58,21,0,726,407,241,58,20,0,373,185,139,34,15,0,119,61,42,14,2,0,86,47,30,7,2,0,64,43,16,4,1,0,7,5,2,0,0,0
,,Wisconsin,3172,1689,1112,298,71,2,3055,1624,1066,292,71,2,1108,501,456,124,27,0,456,208,187,49,12,0,555,267,217,55,16,0,240,108,96,28,8,0,3,2,0,0,1,0
,,Wyoming,202,112,72,16,2,0,193,105,72,15,1,0,71,34,31,5,1,0,28,17,9,2,0,0,16,9,7,0,0,0,11,4,6,1,0,0,0,0,0,0,0,0
,50-64 Years,All Donor States of Residence,89826,48174,30587,8834,2214,17,84059,45172,28621,8184,2065,17,41412,20009,15467,4689,1246,1,5773,3063,2085,543,82,0,2471,1248,945,236,42,0,5952,3023,2131,671,127,0,60,24,22,10,4,0
,,Alabama,1400,759,486,129,26,0,1291,712,440,114,25,0,727,347,290,76,14,0,35,18,14,3,0,0,11,3,8,0,0,0,44,25,13,6,0,0,0,0,0,0,0,0
,,Alaska,197,109,68,17,3,0,193,107,67,16,3,0,75,33,32,9,1,0,10,6,3,1,0,0,2,1,1,0,0,0,10,2,7,1,0,0,0,0,0,0,0,0
,,Arizona,1505,858,490,120,35,2,1437,823,465,113,34,2,598,298,227,57,16,0,64,30,25,9,0,0,13,9,3,1,0,0,83,44,32,6,1,0,1,1,0,0,0,0
,,Arkansas,601,322,221,43,15,0,565,304,208,39,14,0,329,159,128,32,10,0,34,20,11,3,0,0,12,5,7,0,0,0,40,25,9,5,1,0,1,1,0,0,0,0
,,California,9249,4983,3071,967,228,0,8732,4693,2902,920,217,0,4363,2148,1565,531,119,0,744,410,259,66,9,0,157,86,56,12,3,0,783,404,265,100,14,0,3,2,1,0,0,0
,,Colorado,1269,672,460,112,25,0,1211,641,438,107,25,0,460,213,184,55,8,0,75,33,29,13,0,0,44,23,13,7,1,0,48,25,17,5,1,0,3,1,2,0,0,0
,,Connecticut,1105,609,368,108,20,0,1051,585,348,101,17,0,370,177,139,45,9,0,73,41,24,8,0,0,19,6,9,4,0,0,41,23,14,4,0,0,0,0,0,0,0,0
,,Delaware,356,189,125,32,10,0,332,178,117,27,10,0,199,98,73,23,5,0,36,14,17,5,0,0,13,9,4,0,0,0,23,13,5,5,0,0,0,0,0,0,0,0
,,District of Columbia,236,134,63,35,4,0,208,119,54,31,4,0,121,61,34,23,3,0,5,2,3,0,0,0,3,3,0,0,0,0,15,7,5,3,0,0,0,0,0,0,0,0
,,Florida,5107,2740,1731,517,119,0,4698,2531,1595,463,109,0,2703,1343,986,297,77,0,280,142,108,27,3,0,78,37,30,7,4,0,354,188,125,32,9,0,6,1,1,3,1,0
,,Georgia,2424,1345,795,232,52,0,2154,1200,701,207,46,0,1308,661,469,146,32,0,140,74,51,13,2,0,13,7,5,0,1,0,185,104,50,25,6,0,0,0,0,0,0,0
,,Hawaii,375,192,116,53,14,0,365,187,113,51,14,0,166,78,59,24,5,0,4,2,2,0,0,0,1,1,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0
,,Idaho,359,178,142,31,8,0,351,175,138,31,7,0,138,59,62,11,6,0,21,10,11,0,0,0,4,2,2,0,0,0,18,7,10,0,1,0,0,0,0,0,0,0
,,Illinois,4121,2180,1387,445,107,2,3809,2034,1272,400,101,2,1819,890,632,244,52,1,234,135,72,24,3,0,275,150,92,31,2,0,314,155,109,41,9,0,10,7,1,1,1,0
,,Indiana,1572,799,598,137,38,0,1474,750,565,126,33,0,793,351,322,88,32,0,124,65,48,7,4,0,47,25,18,4,0,0,138,71,51,16,0,0,0,0,0,0,0,0
,,Iowa,902,479,327,74,22,0,869,463,313,73,20,0,357,164,148,33,12,0,65,39,14,10,2,0,39,19,11,8,1,0,38,18,16,4,0,0,0,0,0,0,0,0
,,Kansas,769,393,277,76,23,0,724,369,265,68,22,0,409,181,161,54,13,0,56,21,23,10,2,0,34,14,14,4,2,0,62,25,27,8,2,0,1,0,0,1,0,0
,,Kentucky,965,489,385,76,15,0,923,470,368,70,15,0,517,250,216,43,8,0,70,36,28,6,0,0,34,10,22,2,0,0,66,33,29,4,0,0,0,0,0,0,0,0
,,Louisiana,1218,665,387,133,33,0,1074,585,346,115,28,0,780,395,265,90,30,0,53,29,16,7,1,0,17,8,6,3,0,0,93,55,25,11,2,0,1,1,0,0,0,0
,,Maine,461,226,179,43,13,0,437,211,171,43,12,0,156,64,68,18,6,0,30,13,12,4,1,0,17,6,10,1,0,0,23,11,9,3,0,0,0,0,0,0,0,0
,,Maryland,2186,1169,708,257,51,1,2023,1086,659,231,46,1,1010,485,358,138,29,0,110,56,40,13,1,0,40,13,20,6,1,0,184,76,82,22,4,0,3,0,3,0,0,0
,,Massachusetts,2033,1148,651,188,45,1,1923,1080,622,178,42,1,686,335,250,73,28,0,140,79,51,10,0,0,45,24,16,5,0,0,93,45,38,6,4,0,1,1,0,0,0,0
,,Michigan,3514,1915,1177,332,89,1,3337,1814,1125,311,86,1,1372,666,509,155,42,0,224,121,76,20,7,0,90,50,34,5,1,0,260,133,91,28,8,0,2,0,1,1,0,0
