Donor Type,Donor Age,Donor State of Residence,All Donors - All ABO,All Donors - O,All Donors - A,All Donors - B,All Donors - AB,All Donors - Unknown,Kidney - All ABO,Kidney - O,Kidney - A,Kidney - B,Kidney - AB,Kidney - Unknown,Liver - All ABO,Liver - O,Liver - A,Liver - B,Liver - AB,Liver - Unknown,Heart - All ABO,Heart - O,Heart - A,Heart - B,Heart - AB,Heart - Unknown,Pancreas - All ABO,Pancreas - O,Pancreas - A,Pancreas - B,Pancreas - AB,Pancreas - Unknown,Lung - All ABO,Lung - O,Lung - A,Lung - B,Lung - AB,Lung - Unknown,Intestine - All ABO,Intestine - O,Intestine - A,Intestine - B,Intestine - AB,Intestine - Unknown
,,North Carolina,10187,5600,3315,1047,224,1,9526,5248,3075,992,210,1,5121,2527,1870,578,146,0,2438,1248,879,261,50,0,1520,764,562,164,30,0,1328,671,460,167,30,0,127,73,44,9,1,0
,,North Dakota,1029,537,383,86,23,0,985,509,371,84,21,0,399,177,166,44,12,0,171,79,72,18,2,0,182,87,78,14,3,0,76,34,28,13,1,0,14,7,4,1,2,0
,,Ohio,15946,8441,5635,1481,385,4,15033,7952,5322,1395,362,2,7422,3468,2913,811,229,1,3000,1453,1164,297,85,1,2377,1118,950,258,51,0,1675,841,651,148,35,0,137,71,48,16,2,0
,,Oklahoma,4334,2325,1517,399,91,2,4076,2185,1428,378,83,2,2430,1191,928,245,66,0,1094,566,409,97,22,0,392,204,146,35,7,0,454,238,167,43,6,0,31,17,12,2,0,0
,,Oregon,3813,2012,1394,338,68,1,3681,1939,1350,327,64,1,1709,798,704,165,42,0,765,380,305,71,9,0,414,200,165,43,6,0,272,126,118,27,1,0,10,3,2,3,2,0
,,Pennsylvania,19932,10254,7024,2109,539,6,18342,9402,6473,1961,501,5,11001,5158,4169,1321,352,1,4008,1950,1496,460,102,0,2693,1269,1049,320,55,0,2271,1114,834,268,55,0,178,83,79,13,3,0
,,Puerto Rico,2737,1656,819,218,43,1,2451,1499,718,194,39,1,1567,873,536,127,31,0,355,224,113,16,2,0,245,143,80,21,1,0,246,130,90,22,4,0,29,13,13,3,0,0
,,Rhode Island,1229,721,381,100,27,0,1154,672,360,97,25,0,393,199,144,36,14,0,178,96,62,18,2,0,102,46,44,10,2,0,62,32,23,5,2,0,4,0,1,3,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South Carolina,5383,2926,1757,572,126,2,5086,2782,1654,531,117,2,3210,1586,1137,396,91,0,1413,717,502,166,28,0,760,413,263,75,9,0,736,379,244,91,22,0,51,24,21,5,1,0
,,South Dakota,1111,596,402,86,27,0,1066,567,391,81,27,0,505,233,208,44,20,0,202,105,78,15,4,0,233,111,96,19,7,0,124,58,54,10,2,0,16,7,8,0,1,0
,,State unassigned,7828,4594,2119,919,189,7,7280,4265,1970,863,177,5,2596,1395,832,281,86,2,1279,698,412,128,41,0,640,336,221,68,15,0,477,265,158,45,9,0,26,17,8,1,0,0
,,Tennessee,8081,4358,2723,787,211,2,7535,4071,2536,729,197,2,4480,2195,1675,477,133,0,2090,1044,762,228,56,0,1156,588,401,140,27,0,974,482,351,117,24,0,129,62,48,16,3,0
,,Texas,28137,16300,8603,2616,611,7,26064,15156,7944,2406,551,7,14257,7458,4890,1515,394,0,6831,3769,2296,629,137,0,2616,1439,904,232,41,0,3483,1923,1147,354,59,0,209,123,57,20,9,0
